ward,pop,em_pct,asthma_p100k,chd_p100k,obesity_p100k,cancer_p100k,copd_p100k,diabetes_p100k,dementia_p100k,overcrwd_pct,nocentralheat_pct,loneparents_pct,crime_p1000,smokers_p100k,elec_heat_pct,gas_heat_pct,nocar_pct,imd_all,imd_inc,imd_idaci,imd_idaopi,imd_fuelpov,ff_outlets,
adel & wharfedale,21370,12.9,5588,3011,18753,4761,1097,4371,3936,1.4,1.6,4.2,69.5,10251,3.3,89.4,16.1,10.9346,6.7429,7.2639,6.6025,6.5772,3,
alwoodley,24734,27.3,6952,3346,21012,4430,1327,6274,3501,2.6,3.5,6.4,68.8,11204,8.4,83.6,19.6,15.3986,9.3772,9.9837,10.6226,7.5569,6,
ardsley & robin hood ,23953,5.5,6694,3856,26578,4136,2246,6331,3216,2,3.1,7.1,74.8,14358,1.9,91.2,16.4,17.006,9.3655,11.8542,12.9274,7.3376,9,
armley,27407,22,6437,3941,27308,3587,3450,7684,6859,4.9,7.3,9.5,192.7,25776,16.3,71.9,42.9,46.0387,24.1074,34.1438,22.3019,10.3265,44,
beeston & holbeck,29531,28.2,6374,3955,27021,4159,4037,8028,4512,5.2,9.4,9.2,188.2,23042,13.7,70.6,47,41.4602,21.4637,28.0252,22.8594,12.2451,38,
bramley & stanningley,25048,8.1,6807,3972,29010,4336,4112,7146,3881,4.2,6.8,9.9,135.1,22508,7.4,81.5,36.9,38.5203,20.0736,28.7227,21.3732,9.7969,14,
burnmantofts & richmond hill,31164,34.1,5430,4170,27253,3986,4969,8220,5097,5.8,8.7,13.7,192.5,26810,17.8,65.9,57.9,58.7037,33.2352,41.6975,30.2769,12.3115,29,
calverley & farsley,23174,15.4,5615,3364,22967,4528,2019,5948,4317,2.2,4.7,5.4,68.6,11860,3.7,87.7,17.7,15.7254,7.9016,9.021,11.6854,7.8305,24,
chapel allerton,30113,49.5,6425,3523,22759,3748,2457,9100,6659,5.1,5.6,10.1,113.3,19488,9.1,78.5,41.4,34.9815,20.3979,24.2823,28.5536,12.0877,19,
cross gates & whinmoor,25132,7.9,7385,3710,28264,4332,2895,6715,4181,3.2,4.7,8.4,112.9,18994,12.9,78.6,31.7,27.7062,13.8696,18.7102,13.5159,8.6919,175,
farnley & wortley,26057,11,7702,3642,27729,4337,3230,6947,6079,3.5,8.2,9.1,140.3,21894,10.5,77.3,34.1,35.5922,17.9356,24.7459,18.0164,9.7035,10,
garforth & swillington,21363,3.5,5914,3566,25828,4601,2077,5756,4682,1.6,2.2,5.7,63.5,13639,2.7,90.6,20,13.145,7.494,9.7053,9.0736,7.8235,18,
gipton & harehills,40541,63,5359,4531,28411,3584,3489,11966,7034,8.9,8.4,13.9,176.8,24082,13.2,68.2,56,55.6782,30.2104,30.6725,41.6388,18.4892,16,
